event_id,team,module,priority,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,deploy_status
1838,Gamma,payments,baja,9.31,2.59,144,1,84.9,7.02,success
3656,Gamma,search,media,8.17,4.76,217,1,87.3,13.63,success
3993,Alpha,api,baja,13.09,5.96,149,0,92.0,9.21,success
2314,Alpha,search,alta,4.26,3.36,76,0,83.8,4.26,success
842,Beta,ui,baja,7.86,5.46,134,1,85.1,11.74,success
169,Alpha,api,media,3.49,4.28,88,1,85.5,4.16,success
4968,Alpha,api,media,8.79,2.19,143,1,90.5,4.71,success
1814,Beta,api,baja,14.15,2.63,64,0,84.8,3.29,success
4140,Delta,ui,alta,7.35,3.34,61,1,69.8,3.34,success
1770,Alpha,ui,media,4.61,4.69,112,0,78.3,8.84,success
1030,Alpha,api,media,4.27,4.13,108,1,89.0,34.55,success
4234,Delta,auth,alta,14.06,3.59,244,1,88.8,5.72,success
2810,Alpha,auth,critica,10.78,2.98,92,0,90.9,2.04,success
4543,Beta,ui,critica,8.74,5.75,77,0,83.8,25.4,success
2298,Beta,search,alta,8.14,5.65,184,1,93.9,6.97,success
3979,Gamma,auth,baja,11.61,3.14,163,2,95.9,3.49,success
2108,Beta,api,baja,6.48,3.16,238,1,76.3,5.01,success
4089,Beta,ui,media,8.96,5.43,62,0,69.4,2.27,success
1011,Beta,auth,media,6.4,5.71,523,2,,7.63,success
2998,Beta,api,media,7.4,3.94,137,2,85.5,4.11,success
554,Delta,api,baja,6.5,3.94,65,0,83.2,4.54,success
2803,Delta,auth,baja,5.92,2.74,136,1,72.1,2.73,success
3146,Alpha,ui,media,6.36,4.69,59,1,91.2,2.78,success
30,Delta,notifications,alta,15.4,2.11,117,0,87.1,12.61,success
1221,Beta,search,critica,9.59,7.28,118,0,89.2,2.87,success
1599,Delta,payments,alta,5.16,3.15,70,3,85.7,6.32,failed
1757,Beta,api,media,5.01,3.71,349,1,91.9,3.86,failed
2516,Delta,search,media,3.97,2.13,169,1,87.3,3.76,success
4524,Gamma,api,media,6.39,3.39,38,1,78.5,15.91,failed
3918,Gamma,payments,alta,9.8,3.19,111,2,95.7,4.53,success
3155,Delta,notifications,critica,3.77,4.14,181,0,92.4,2.95,success
1457,Alpha,payments,critica,4.62,3.77,240,1,93.9,3.83,success
2285,Gamma,search,baja,5.48,5.31,79,0,96.2,14.39,success
4875,Alpha,ui,baja,5.47,2.05,63,0,95.9,4.66,success
1593,Gamma,payments,media,5.58,3.75,73,0,81.5,23.69,success
4217,Alpha,notifications,baja,3.66,4.65,40,0,71.3,8.88,success
66,Beta,payments,baja,13.0,5.85,227,1,79.6,13.07,success
3927,Beta,auth,baja,5.61,2.66,150,1,68.3,28.74,success
4731,Alpha,ui,alta,7.87,3.33,261,3,77.1,5.94,success
2985,Alpha,auth,baja,8.69,2.35,84,0,76.2,10.02,success
1421,Delta,payments,critica,9.39,4.49,103,1,82.9,2.38,success
1870,Delta,auth,media,4.96,5.05,188,1,83.8,4.76,rolled_back
24,Delta,payments,baja,8.55,6.37,268,0,78.7,15.62,success
241,Alpha,api,media,8.97,3.35,78,0,88.6,3.17,success
2711,Beta,notifications,alta,5.99,3.25,107,1,89.0,6.26,success
1552,Beta,payments,media,5.78,5.26,139,0,88.8,23.41,success
469,Delta,auth,media,6.28,1.91,75,2,84.9,4.23,success
545,Beta,search,baja,6.57,3.32,106,1,82.3,7.37,success
1903,Alpha,payments,baja,5.11,3.34,189,0,80.8,12.56,success
228,Delta,auth,alta,3.32,3.19,294,4,94.4,8.91,success
4934,Beta,auth,alta,6.1,3.61,170,3,85.9,5.65,rolled_back
4449,Alpha,ui,media,5.01,1.51,56,1,76.4,4.15,success
4069,Beta,ui,critica,5.0,3.02,152,2,90.9,14.21,success
1752,Beta,search,media,14.31,3.73,172,0,89.8,23.26,success
4385,Alpha,search,baja,6.75,5.64,224,0,81.4,2.73,success
3816,Gamma,ui,critica,4.78,4.61,258,0,83.0,4.36,success
4644,Alpha,auth,baja,9.01,3.82,208,0,83.1,18.37,success
85,Alpha,notifications,baja,8.65,4.9,212,1,89.8,12.22,success
539,Beta,ui,media,12.54,1.78,229,3,61.4,20.55,success
3977,Alpha,auth,baja,5.92,4.7,24,0,92.4,8.32,success
472,Gamma,api,baja,6.31,2.9,126,0,91.2,,success
2830,Gamma,payments,media,12.56,3.76,461,2,83.1,5.54,success
2793,Gamma,notifications,media,7.5,,244,6,61.3,5.91,success
692,Gamma,api,alta,9.56,5.13,372,1,85.6,1.03,success
4386,Gamma,api,alta,5.6,4.51,156,1,90.0,2.76,rolled_back
878,Beta,notifications,alta,9.53,3.08,117,0,73.1,8.86,success
1269,Alpha,api,critica,4.03,2.09,50,0,80.4,1.69,success
158,Beta,api,media,7.56,3.22,303,1,84.6,11.96,success
2697,Gamma,api,baja,6.87,2.72,159,2,69.7,3.4,success
4728,Alpha,notifications,baja,6.04,2.31,67,0,94.1,4.98,success
829,Delta,api,alta,9.4,1.93,103,1,91.8,2.15,success
2805,Gamma,notifications,baja,6.56,1.66,40,0,84.3,6.97,success
492,Alpha,search,baja,3.78,2.48,131,0,87.4,7.18,success
4902,Alpha,api,alta,7.84,4.41,233,2,73.7,1.97,success
3772,Beta,api,baja,8.72,4.03,43,0,90.4,68.16,success
2819,Alpha,notifications,alta,8.29,5.1,80,2,78.1,8.57,success
1437,Alpha,ui,baja,8.83,1.45,87,0,89.0,5.66,success
107,Gamma,search,media,5.59,3.16,11,0,93.0,11.76,success
4872,Alpha,ui,baja,10.18,4.9,153,2,82.1,,success
3633,Delta,search,baja,3.53,4.44,159,0,96.0,28.34,success
1535,Delta,api,media,7.03,4.55,12,0,86.9,10.03,success
2223,Gamma,api,critica,4.98,5.22,236,1,96.4,9.46,success
80,Gamma,api,baja,5.8,3.93,68,1,81.2,25.16,success
2192,Gamma,ui,baja,12.51,4.28,46,0,88.9,10.11,success
4564,Gamma,ui,baja,8.99,5.78,44,0,91.2,10.8,success
4424,Alpha,api,media,4.37,2.79,94,0,87.8,2.46,success
200,Alpha,auth,baja,6.36,6.16,178,1,94.5,2.11,success
2797,Beta,api,alta,6.19,2.51,182,1,71.1,2.52,success
600,Beta,ui,baja,8.6,2.6,173,1,95.9,6.06,success
486,Beta,payments,alta,5.58,3.36,286,1,85.5,10.2,success
1048,Alpha,ui,media,5.98,2.45,60,1,82.1,6.84,success
3907,Beta,ui,baja,8.63,3.28,356,2,84.9,16.79,success
1076,Alpha,payments,alta,9.13,2.3,140,2,73.3,3.41,success
843,Delta,api,media,5.69,3.08,200,5,97.9,8.45,rolled_back
3596,Gamma,api,baja,7.64,2.57,101,0,97.8,8.4,failed
2611,Beta,payments,alta,6.83,8.18,201,2,85.9,9.03,success
1371,Beta,search,media,5.8,4.03,39,1,95.9,5.17,success
4716,Gamma,ui,alta,13.17,1.98,157,0,,4.45,success
1323,Gamma,ui,media,9.54,2.36,367,1,89.2,13.6,success
502,Gamma,auth,media,13.63,4.99,71,1,76.2,19.39,success
4100,Alpha,search,alta,12.9,2.71,107,2,83.7,5.39,success
1021,Alpha,api,media,7.53,4.94,64,0,94.4,11.42,success
2095,Delta,payments,critica,7.32,4.76,294,1,91.7,17.09,success
4692,Alpha,payments,media,7.94,1.39,250,1,93.6,4.25,success
4672,Alpha,search,baja,9.36,1.51,246,1,78.7,19.52,success
2073,Beta,api,media,3.91,3.05,149,0,85.1,5.54,success
3101,Alpha,payments,baja,4.97,0.81,62,2,63.6,7.4,success
4164,Beta,ui,baja,6.6,4.18,50,1,90.8,11.63,success
684,Gamma,ui,alta,5.91,,36,1,76.7,4.65,success
2081,Gamma,payments,baja,3.34,4.74,20,0,82.1,6.42,success
4090,Delta,notifications,baja,7.18,2.27,135,1,81.6,10.46,success
1210,Beta,ui,alta,5.7,4.82,129,2,72.0,12.27,success
415,Alpha,api,baja,5.96,2.4,220,0,72.4,8.08,success
1488,Beta,ui,media,9.16,2.52,5,0,79.0,16.13,success
394,Delta,api,media,3.91,2.34,184,2,80.1,10.53,success
4421,Alpha,ui,media,4.5,1.88,125,2,95.8,25.29,success
4161,Alpha,auth,media,10.2,3.06,76,1,86.4,3.8,success
430,Delta,api,baja,5.6,2.81,209,0,,17.3,success
2145,Beta,api,baja,17.68,4.3,12,0,89.6,7.71,success
1294,Alpha,ui,baja,10.61,3.9,155,0,88.6,6.36,success
4232,Alpha,auth,media,7.29,3.59,217,2,95.1,5.47,success
3493,Beta,auth,media,11.87,2.7,26,1,82.9,16.26,success
1074,Gamma,search,alta,4.42,1.96,244,2,85.6,9.57,success
1259,Beta,search,alta,8.05,3.86,63,1,90.5,3.21,success
808,Alpha,search,media,13.41,4.32,165,2,78.6,8.35,success
498,Beta,ui,media,6.58,2.78,150,0,81.6,12.46,success
4193,Delta,notifications,media,9.31,3.15,42,1,88.6,13.77,success
3845,Alpha,search,media,5.34,4.43,69,0,91.7,18.54,success
374,Beta,auth,alta,5.43,5.69,33,1,93.4,1.38,success
725,Alpha,payments,baja,4.3,2.36,262,1,62.9,14.23,success
1171,Alpha,ui,media,5.21,4.9,186,1,84.5,8.49,success
4834,Delta,search,media,15.24,3.29,55,0,88.9,,success
995,Delta,notifications,media,4.15,2.71,100,3,84.3,2.52,success
3209,Alpha,payments,media,6.76,4.51,99,1,78.9,5.34,success
3519,Beta,ui,media,8.12,5.98,88,2,80.2,20.5,success
9,Gamma,search,critica,5.26,3.34,81,2,81.2,5.83,success
2908,Beta,notifications,media,7.79,8.37,179,1,90.0,6.89,success
1898,Delta,payments,baja,11.41,4.71,314,0,82.7,12.34,success
2104,Alpha,auth,media,4.33,4.86,102,0,90.5,7.61,success
145,Beta,auth,baja,8.9,6.78,173,2,91.2,15.81,success
812,Beta,auth,alta,6.72,3.98,200,1,91.1,4.63,success
2742,Gamma,auth,baja,7.85,2.35,95,1,80.4,14.05,success
297,Beta,notifications,baja,4.67,3.28,42,2,80.8,9.15,success
4768,Alpha,search,media,9.53,2.65,134,0,90.1,6.27,success
1145,Alpha,payments,alta,8.5,5.43,104,1,96.2,8.83,success
152,Gamma,payments,media,3.29,2.53,100,0,,13.44,success
4528,Beta,payments,media,5.77,5.64,14,0,87.5,10.79,success
2187,Beta,ui,critica,9.47,5.67,30,1,89.3,7.3,failed
4591,Beta,notifications,media,5.4,3.28,159,0,93.6,3.98,success
1967,Delta,ui,baja,5.45,6.36,45,0,84.8,2.05,success
1449,Gamma,auth,media,6.63,3.42,231,0,81.6,16.31,success
4842,Delta,api,media,8.68,2.75,43,0,89.6,,success
4405,Delta,ui,media,5.22,2.3,81,0,79.6,10.96,success
1392,Gamma,api,media,6.69,2.62,260,1,75.5,6.03,success
4781,Alpha,auth,baja,1.98,3.09,7,0,87.0,7.91,success
3632,Gamma,ui,media,10.57,3.18,135,3,,7.26,success
1406,Gamma,api,baja,8.14,3.52,171,1,87.2,8.02,success
1973,Alpha,api,baja,15.32,2.99,114,0,90.6,3.95,success
4887,Beta,auth,baja,16.45,2.62,12,0,95.4,16.86,success
4615,Gamma,auth,media,11.53,5.71,160,2,71.1,13.68,success
1438,Beta,api,media,3.86,2.02,67,1,67.8,10.98,success
2406,Beta,notifications,alta,8.86,5.72,94,0,82.4,3.69,success
4258,Alpha,notifications,media,6.11,4.85,189,1,92.4,28.28,failed
2320,Alpha,ui,media,5.07,2.26,448,5,77.9,2.95,failed
3785,Beta,ui,media,11.56,3.78,359,3,,14.03,success
101,Alpha,auth,media,3.21,1.39,137,1,90.8,21.35,success
2818,Alpha,api,critica,4.36,3.9,203,3,74.5,3.34,success
3415,Gamma,payments,media,14.83,2.14,265,3,94.3,12.71,success
2900,Alpha,payments,baja,7.53,4.24,16,0,90.7,4.62,success
4051,Gamma,payments,baja,9.81,3.12,151,0,85.9,9.54,success
2610,Beta,auth,baja,5.86,1.93,105,0,81.3,6.91,success
1211,Alpha,search,media,13.77,2.05,84,0,88.3,5.08,success
4750,Delta,ui,alta,7.94,4.76,203,1,75.0,5.09,success
3249,Delta,auth,baja,6.45,2.94,69,1,82.4,6.92,success
2390,Gamma,api,baja,5.55,3.29,45,2,90.1,8.81,success
1766,Gamma,payments,baja,5.45,1.63,85,0,81.3,7.4,success
2695,Beta,ui,media,13.15,2.84,67,0,77.1,7.11,success
556,Alpha,payments,baja,5.65,3.11,258,1,80.6,10.58,success
4596,Gamma,api,critica,9.91,4.51,130,1,88.4,3.79,success
4061,Beta,notifications,media,9.16,3.25,113,2,80.6,6.09,success
249,Alpha,api,baja,14.67,2.09,136,1,87.7,10.27,success
677,Gamma,payments,baja,9.67,2.42,51,0,87.3,11.11,success
1619,Alpha,auth,alta,8.78,,40,1,83.9,4.5,success
2628,Beta,auth,media,16.3,4.26,189,2,87.8,5.79,success
1841,Beta,auth,baja,10.6,2.89,113,1,81.7,5.25,success
4862,Alpha,ui,critica,10.41,12.62,131,1,82.1,6.08,success
3309,Delta,ui,alta,9.92,3.18,61,0,80.2,18.24,success
654,Beta,payments,media,18.18,1.97,180,3,76.0,8.04,success
4801,Beta,payments,media,18.32,3.15,69,0,90.7,20.78,success
3529,Delta,ui,critica,7.92,3.31,177,3,92.9,1.71,success
1484,Alpha,payments,baja,9.09,1.29,59,1,71.2,5.14,success
4013,Alpha,api,alta,3.56,2.98,41,0,89.3,,success
1500,Beta,notifications,media,8.03,7.0,37,0,79.7,5.27,success
3007,Beta,api,baja,6.55,4.75,154,0,91.3,19.05,success
1554,Beta,ui,baja,4.59,6.2,81,1,83.1,16.16,success
1182,Beta,auth,baja,8.71,2.61,94,0,87.6,21.19,success
3211,Delta,search,media,4.72,3.21,271,2,65.2,10.04,success
4850,Beta,ui,media,13.64,3.04,32,0,86.2,4.5,success
590,Beta,search,media,9.74,4.15,144,1,92.6,2.65,success
3932,Gamma,auth,alta,1.62,3.24,122,2,83.7,5.68,success
34,Beta,api,baja,15.1,4.67,226,5,80.7,33.11,rolled_back
2795,Gamma,search,alta,10.6,5.52,155,1,94.9,9.65,success
4971,Gamma,ui,alta,8.06,4.05,108,0,91.7,11.93,success
4337,Gamma,search,alta,8.43,2.09,87,0,91.4,10.21,success
2673,Delta,api,media,10.58,2.64,315,2,94.1,7.61,success
1398,Beta,auth,baja,6.41,1.88,246,0,80.2,24.1,success
2267,Alpha,payments,media,5.77,1.65,72,0,77.8,7.02,success
3188,Gamma,notifications,critica,4.97,3.43,106,0,95.5,1.22,success
4435,Alpha,payments,baja,11.55,2.75,50,0,76.5,32.71,success
3706,Beta,ui,alta,21.87,6.5,139,1,97.4,2.13,success
3280,Beta,payments,alta,11.24,6.15,81,2,86.7,33.03,success
2006,Alpha,auth,alta,14.99,4.6,175,2,84.4,3.73,success
4836,Beta,notifications,critica,6.38,2.02,203,1,83.8,3.06,success
1787,Gamma,api,alta,6.57,4.09,363,1,78.5,37.31,success
2120,Alpha,ui,alta,11.35,2.57,27,0,86.0,11.24,success
4227,Gamma,auth,alta,9.2,3.36,177,1,72.7,2.7,success
3037,Gamma,payments,baja,10.54,1.8,46,0,97.3,25.23,success
231,Gamma,ui,baja,9.08,3.15,50,0,78.5,20.62,success
2017,Alpha,auth,alta,11.2,3.75,48,1,93.8,3.58,success
4687,Beta,search,critica,7.16,2.02,311,3,85.1,0.97,success
334,Delta,api,media,12.0,4.96,240,2,74.4,12.27,success
3873,Gamma,search,baja,4.16,5.68,270,1,69.6,3.13,rolled_back
3805,Gamma,ui,media,9.93,3.61,26,0,87.2,8.33,success
4953,Gamma,api,alta,5.67,2.14,44,1,85.2,12.85,success
2442,Gamma,auth,baja,21.77,4.78,142,0,85.4,13.66,success
678,Beta,ui,baja,11.47,3.76,311,2,90.8,13.81,success
3465,Delta,auth,critica,5.91,2.18,111,1,70.4,1.99,success
2726,Beta,ui,alta,5.31,2.6,206,3,96.2,3.81,success
4710,Beta,payments,alta,10.53,2.23,111,0,88.8,4.05,success
3635,Alpha,api,critica,5.28,2.75,353,0,89.0,2.18,success
1109,Beta,search,baja,3.48,2.72,16,0,90.9,8.33,success
3427,Alpha,api,alta,10.25,2.72,73,0,86.7,5.35,success
3537,Gamma,auth,media,4.18,2.65,27,1,82.5,2.53,success
2234,Alpha,ui,alta,7.42,4.14,430,3,81.9,5.27,success
4220,Beta,payments,baja,11.91,3.17,81,0,94.8,8.54,success
1150,Beta,ui,media,4.08,2.5,59,1,91.1,37.19,success
3657,Beta,ui,baja,8.79,3.49,33,0,91.6,3.82,success
3669,Beta,notifications,alta,23.24,4.64,200,3,81.0,1.34,success
3685,Delta,auth,media,3.11,4.29,31,0,75.8,2.49,success
4255,Alpha,auth,media,10.6,3.2,202,1,93.5,8.81,success
799,Alpha,payments,baja,3.37,2.23,53,0,71.6,2.05,success
587,Alpha,api,baja,3.58,4.06,150,1,90.5,6.06,success
1790,Beta,api,media,9.1,2.05,70,0,78.5,2.33,success
3618,Alpha,auth,baja,7.75,2.1,195,1,87.0,12.23,success
3264,Gamma,notifications,media,10.15,6.05,88,2,87.6,7.41,success
927,Gamma,search,media,4.36,2.88,209,2,70.2,7.45,success
2846,Gamma,ui,baja,13.94,2.68,300,0,67.7,2.16,success
2237,Alpha,payments,media,9.83,3.39,66,0,71.2,29.77,success
3703,Delta,api,media,5.06,6.55,104,0,86.3,14.86,success
2078,Alpha,search,alta,10.01,3.28,41,0,89.7,1.34,success
150,Alpha,api,baja,13.96,3.11,20,1,64.5,5.69,failed
752,Delta,payments,media,12.91,2.35,161,0,97.7,7.61,success
3923,Alpha,api,media,10.71,1.7,154,1,75.8,1.93,success
3621,Gamma,notifications,media,12.47,2.34,81,1,92.4,7.12,success
13,Alpha,api,baja,8.93,1.93,384,1,82.5,6.77,success
3236,Beta,auth,alta,5.58,3.3,113,1,74.7,9.2,success
4673,Beta,notifications,media,6.26,5.95,146,0,95.4,5.75,success
3335,Delta,auth,critica,29.32,2.91,260,3,88.2,3.98,success
2573,Beta,notifications,baja,5.43,3.58,19,0,83.6,34.07,success
4056,Alpha,ui,baja,10.46,5.22,86,0,71.1,6.14,success
4476,Beta,auth,baja,6.01,5.51,5,0,84.2,10.07,success
1966,Alpha,api,baja,13.55,3.12,56,0,92.9,5.59,success
2289,Alpha,ui,media,5.33,2.54,56,1,77.5,3.83,success
2239,Alpha,search,baja,5.51,4.82,206,0,85.9,5.37,success
423,Gamma,ui,baja,5.25,2.05,111,0,80.4,6.33,success
1706,Alpha,api,baja,5.37,4.84,120,0,88.7,5.69,success
1414,Alpha,search,baja,5.67,1.66,24,0,83.6,2.32,success
1942,Gamma,auth,baja,6.58,3.19,71,0,81.1,10.23,success
3164,Delta,api,media,10.01,2.36,148,1,69.1,9.78,success
4806,Delta,notifications,baja,10.44,2.09,25,0,89.9,15.44,success
4825,Gamma,ui,alta,4.05,4.77,109,2,89.4,8.65,success
2371,Gamma,search,alta,6.71,1.81,251,0,84.3,3.82,success
1053,Delta,api,baja,3.98,4.74,348,2,91.7,17.92,success
4809,Alpha,auth,baja,9.98,4.84,230,1,80.2,7.53,success
1887,Gamma,ui,critica,7.27,4.35,82,1,86.2,8.3,success
811,Alpha,payments,critica,2.27,1.47,155,1,85.7,3.87,success
4574,Delta,ui,alta,13.1,2.09,126,0,89.5,4.73,success
1768,Alpha,api,critica,1.72,4.05,73,1,91.3,1.88,success
747,Alpha,search,media,4.28,8.96,59,0,81.2,5.58,success
2143,Gamma,notifications,alta,7.04,2.87,258,2,76.5,20.22,success
473,Alpha,payments,alta,9.19,4.29,46,0,93.5,6.83,success
133,Alpha,notifications,critica,11.67,2.35,178,2,93.8,9.12,success
1271,Beta,search,critica,9.05,4.92,132,3,81.9,4.1,success
1737,Alpha,api,media,7.08,3.06,87,1,87.4,1.26,success
1504,Beta,api,baja,9.55,2.44,8,0,,5.27,success
3752,Gamma,ui,alta,10.82,2.8,81,3,78.5,3.13,failed
3254,Beta,ui,baja,14.17,5.19,152,1,96.4,4.86,success
4701,Gamma,search,media,5.68,3.1,58,0,81.8,5.77,success
1116,Beta,api,critica,3.85,1.65,438,4,76.5,2.96,success
288,Alpha,api,baja,9.83,3.15,9,0,90.9,16.78,success
3194,Alpha,payments,baja,11.68,3.2,237,1,87.3,3.01,failed
3128,Alpha,auth,baja,13.41,4.21,135,1,73.3,1.81,success
671,Beta,notifications,media,7.0,8.88,88,2,64.7,8.03,success
2699,Delta,api,media,5.22,1.66,184,0,90.0,6.09,success
2842,Alpha,api,media,5.94,1.91,10,0,70.9,21.94,success
4732,Delta,api,critica,5.05,6.12,115,1,93.3,0.77,success
2715,Beta,ui,baja,14.34,1.85,95,3,61.9,6.5,rolled_back
4327,Gamma,api,baja,10.36,6.32,130,2,79.5,8.82,success
2656,Delta,payments,alta,10.91,4.22,62,0,71.2,1.32,success
2925,Beta,search,baja,3.29,3.03,106,0,93.4,3.92,success
839,Gamma,notifications,baja,3.99,4.2,64,0,95.2,5.34,success
3489,Gamma,ui,alta,4.59,6.82,53,0,88.6,32.41,failed
2440,Gamma,notifications,critica,9.43,4.83,80,3,93.8,0.58,success
417,Beta,auth,baja,8.4,3.92,43,0,68.9,2.79,success
1676,Alpha,ui,media,13.27,2.34,94,0,93.6,4.38,success
3502,Alpha,payments,baja,5.09,2.15,162,1,76.2,5.39,success
777,Beta,api,baja,3.44,6.68,226,0,87.0,8.86,success
2883,Alpha,ui,baja,3.06,3.93,78,0,90.3,10.13,success
3040,Beta,ui,media,5.52,3.28,36,1,80.7,7.7,success
1056,Alpha,search,alta,8.93,2.24,55,3,76.5,8.5,success
3810,Alpha,ui,alta,6.01,3.92,91,0,89.1,5.14,success
1537,Alpha,ui,media,7.16,1.86,23,1,85.7,5.21,success
1744,Gamma,api,media,8.51,3.12,302,2,74.9,11.79,success
3874,Beta,api,alta,8.42,8.31,204,0,84.1,1.25,success
1962,Alpha,auth,baja,6.37,2.49,136,1,95.8,6.35,success
506,Beta,api,media,4.82,4.78,82,1,76.3,8.73,success
2089,Gamma,ui,Alta,7.56,3.0,110,0,84.8,13.27,success
4129,Gamma,payments,media,5.59,2.34,57,1,82.0,12.65,success
2577,Gamma,payments,baja,3.61,5.54,99,1,85.4,33.4,success
562,Beta,api,baja,7.72,4.72,279,1,87.2,8.6,success
4682,Beta,ui,alta,2.41,4.77,295,1,91.7,10.81,success
1216,Alpha,ui,media,7.23,2.67,136,0,93.3,4.99,success
1026,Gamma,api,media,9.6,3.46,51,1,74.1,14.44,success
3177,Alpha,notifications,alta,6.67,3.58,432,5,97.3,2.91,success
3636,Alpha,notifications,media,10.67,2.75,108,0,90.8,12.5,success
627,Gamma,payments,baja,9.82,6.65,204,3,80.2,,failed
4777,Delta,api,alta,9.98,5.74,105,1,84.8,4.72,success
531,Alpha,payments,media,7.7,3.29,57,0,92.8,6.03,success
4054,Alpha,api,media,16.33,5.78,11,1,83.7,3.2,success
427,Alpha,payments,media,6.74,4.53,62,1,73.1,6.53,success
1478,Beta,api,baja,7.69,2.62,144,1,90.6,1.64,success
3692,Beta,ui,media,6.04,5.05,23,0,90.6,3.48,success
1159,Alpha,api,media,8.29,2.61,101,1,86.7,11.23,success
2604,Gamma,search,alta,5.71,3.53,134,2,75.7,1.11,success
1198,Alpha,search,media,5.41,2.57,126,0,92.0,26.11,success
801,Gamma,notifications,media,6.4,2.18,152,1,72.1,2.54,success
764,Delta,search,alta,13.15,1.71,486,2,,2.42,success
2698,Beta,ui,alta,8.3,3.93,68,0,90.3,2.55,success
291,Delta,payments,baja,6.28,3.34,88,1,80.7,8.1,success
2880,Beta,payments,media,3.22,2.86,63,0,87.5,12.86,success
253,Beta,api,media,5.65,3.15,205,1,95.5,9.99,success
3259,Beta,payments,media,4.1,2.28,263,6,73.6,2.05,failed
351,Gamma,search,media,9.19,3.91,178,0,88.9,1.08,success
1979,Delta,auth,alta,5.97,3.36,107,0,75.0,3.15,success
3009,Beta,api,baja,5.36,4.09,509,2,73.6,7.46,success
1601,Beta,ui,media,4.76,2.37,95,2,80.7,4.32,success
1938,Beta,search,alta,8.24,2.04,87,0,96.7,2.18,success
91,Alpha,payments,alta,2.92,4.2,208,0,84.0,7.28,success
2856,Alpha,ui,baja,4.24,5.1,30,0,80.3,6.71,success
4330,Beta,ui,alta,7.51,3.26,9,1,72.5,6.53,success
897,Beta,payments,baja,7.13,3.91,65,0,93.0,5.12,success
3054,Beta,api,critica,7.29,5.73,120,0,81.1,6.97,success
27,Alpha,payments,baja,13.74,6.46,85,0,,20.12,success
1715,Beta,ui,baja,7.59,3.46,193,0,96.6,11.44,success
3981,Alpha,auth,baja,13.98,3.82,45,0,94.8,12.72,success
3850,Beta,api,media,7.67,8.39,54,0,93.2,8.18,success
3226,Alpha,ui,baja,6.0,3.77,205,0,87.6,11.91,success
3961,Alpha,payments,baja,6.78,3.27,59,0,91.8,5.58,success
2635,Gamma,ui,critica,14.12,3.03,252,1,75.9,4.19,success
4035,Beta,notifications,media,6.31,3.48,22,0,69.5,9.76,success
1213,Beta,payments,media,6.82,3.05,82,3,87.8,5.49,success
2324,Alpha,notifications,alta,5.09,4.81,102,2,95.3,6.43,success
3261,Beta,api,media,7.45,2.44,219,1,81.4,14.51,success
4087,Delta,ui,critica,5.05,3.68,63,3,78.2,3.31,rolled_back
255,Gamma,auth,media,15.71,2.67,64,0,93.2,7.04,success
4811,Alpha,api,baja,4.38,4.06,112,0,86.5,6.87,success
735,Alpha,auth,alta,14.25,2.88,108,1,88.8,16.33,success
2857,Beta,payments,baja,10.0,3.49,154,0,73.8,4.63,success
4319,Beta,api,media,10.47,3.43,60,0,84.4,9.88,success
2523,Gamma,payments,media,6.8,3.37,83,2,93.8,6.55,success
2587,Gamma,payments,critica,6.71,3.37,121,1,97.9,11.57,success
